version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,AGGREGATE,100000,500,37,672.089,0,
old,sa,AGGREGATE,100000,500,38,672.576,0,
old,sa,AGGREGATE,100000,500,39,674.973,0,
old,sa,AGGREGATE,100000,500,40,668.346,0,
old,sa,AGGREGATE,100000,500,41,664.458,0,
old,sa,AGGREGATE,100000,500,42,664.265,0,
old,sa,AGGREGATE,100000,500,43,662.206,0,
old,sa,AGGREGATE,100000,500,44,664.185,0,
old,sa,AGGREGATE,100000,500,45,662.599,0,
old,sa,AGGREGATE,100000,500,46,660.400,0,
old,sa,AGGREGATE,100000,500,47,661.061,0,
old,sa,AGGREGATE,100000,500,48,665.555,0,
old,sa,AGGREGATE,100000,500,49,656.059,0,
old,sa,AGGREGATE,100000,1000,0,674.527,0,
old,sa,AGGREGATE,100000,1000,1,666.281,0,
old,sa,AGGREGATE,100000,1000,2,667.522,0,
old,sa,AGGREGATE,100000,1000,3,663.813,0,
old,sa,AGGREGATE,100000,1000,4,664.118,0,
old,sa,AGGREGATE,100000,1000,5,670.189,0,
old,sa,AGGREGATE,100000,1000,6,667.991,0,
old,sa,AGGREGATE,100000,1000,7,660.830,0,
old,sa,AGGREGATE,100000,1000,8,663.713,0,
old,sa,AGGREGATE,100000,1000,9,656.082,0,
old,sa,AGGREGATE,100000,1000,10,728.942,0,
old,sa,AGGREGATE,100000,1000,11,659.151,0,
old,sa,AGGREGATE,100000,1000,12,661.928,0,
old,sa,AGGREGATE,100000,1000,13,664.674,0,
old,sa,AGGREGATE,100000,1000,14,663.114,0,
old,sa,AGGREGATE,100000,1000,15,677.650,0,
old,sa,AGGREGATE,100000,1000,16,670.423,0,
old,sa,AGGREGATE,100000,1000,17,678.139,0,
old,sa,AGGREGATE,100000,1000,18,669.607,0,
old,sa,AGGREGATE,100000,1000,19,671.548,0,
old,sa,AGGREGATE,100000,1000,20,668.818,0,
old,sa,AGGREGATE,100000,1000,21,666.525,0,
old,sa,AGGREGATE,100000,1000,22,669.102,0,
old,sa,AGGREGATE,100000,1000,23,664.001,0,
old,sa,AGGREGATE,100000,1000,24,665.392,0,
old,sa,AGGREGATE,100000,1000,25,660.192,0,
old,sa,AGGREGATE,100000,1000,26,663.493,0,
old,sa,AGGREGATE,100000,1000,27,662.224,0,
old,sa,AGGREGATE,100000,1000,28,659.287,0,
old,sa,AGGREGATE,100000,1000,29,656.593,0,
old,sa,AGGREGATE,100000,1000,30,676.526,0,
old,sa,AGGREGATE,100000,1000,31,673.143,0,
old,sa,AGGREGATE,100000,1000,32,666.043,0,
old,sa,AGGREGATE,100000,1000,33,667.147,0,
old,sa,AGGREGATE,100000,1000,34,663.485,0,
old,sa,AGGREGATE,100000,1000,35,675.674,0,
old,sa,AGGREGATE,100000,1000,36,667.720,0,
old,sa,AGGREGATE,100000,1000,37,669.313,0,
old,sa,AGGREGATE,100000,1000,38,658.349,0,
old,sa,AGGREGATE,100000,1000,39,664.434,0,
old,sa,AGGREGATE,100000,1000,40,666.450,0,
old,sa,AGGREGATE,100000,1000,41,664.743,0,
